source	type	variable	value	term
Aurum	Medcode	SMOK_CURR	102921000006112	Tobacco smoking consumption (observable entity)
Aurum	Medcode	SMOK_CURR	108938018	Cigarette smoker (finding)
Aurum	Medcode	SMOK_CURR	11904991000006116	Occasional cigarette smoker (finding)
Aurum	Medcode	SMOK_CURR	128130017	Smoker (finding)
Aurum	Medcode	SMOK_CURR	136515019	Pipe smoker (finding)
Aurum	Medcode	SMOK_CURR	137721000006115	Tobacco smoking consumption (observable entity)
Aurum	Medcode	SMOK_CURR	137791000006118	Smoking restarted (finding)
Aurum	Medcode	SMOK_CURR	1488576014	Thinking about stopping smoking (finding)
Aurum	Medcode	SMOK_CURR	1488577017	Ready to stop smoking (finding)
Aurum	Medcode	SMOK_CURR	1488578010	Not interested in stopping smoking (finding)
Aurum	Medcode	SMOK_CURR	1592611000000110	Failed attempt to stop smoking (finding)
Aurum	Medcode	SMOK_CURR	1780360012	Reason for restarting smoking (observable entity)
Aurum	Medcode	SMOK_CURR	1780396011	Cigarette pack-years (observable entity)
Aurum	Medcode	SMOK_CURR	216212011	Smoking reduced (finding)
Aurum	Medcode	SMOK_CURR	2170961000000116	Waterpipe tobacco consumption (observable entity)
Aurum	Medcode	SMOK_CURR	2474719011	Minutes from waking to first tobacco consumption (observable entity)
Aurum	Medcode	SMOK_CURR	250368013	Keeps trying to stop smoking (finding)
Aurum	Medcode	SMOK_CURR	250369017	Admitted tobacco consumption possibly untrue (finding)
Aurum	Medcode	SMOK_CURR	250372012	Trying to give up smoking (finding)
Aurum	Medcode	SMOK_CURR	250375014	Rolls own cigarettes (finding)
Aurum	Medcode	SMOK_CURR	250387019	Tobacco smoking consumption (observable entity)
Aurum	Medcode	SMOK_CURR	2669652019	Smoking started (finding)
Aurum	Medcode	SMOK_CURR	2670126018	Smoking restarted (finding)
Aurum	Medcode	SMOK_CURR	3419101000006116	Moderate smoker (20 or less per day) (finding)
Aurum	Medcode	SMOK_CURR	3422221000006116	Heavy smoker (over 20 per day) (finding)
Aurum	Medcode	SMOK_CURR	344793011	Cigarette consumption (observable entity)
Aurum	Medcode	SMOK_CURR	344794017	Cigar consumption (observable entity)
Aurum	Medcode	SMOK_CURR	344795016	Pipe tobacco consumption (observable entity)
Aurum	Medcode	SMOK_CURR	397733018	Occasional tobacco smoker (finding)
Aurum	Medcode	SMOK_CURR	4948531000006116	Smokes in bed (finding)
Aurum	Medcode	SMOK_CURR	5003141000006118	Occasional cigarette smoker (finding)
Aurum	Medcode	SMOK_CURR	5003151000006116	Light cigarette smoker (finding)
Aurum	Medcode	SMOK_CURR	5003161000006119	Moderate cigarette smoker (finding)
Aurum	Medcode	SMOK_CURR	5003171000006114	Heavy cigarette smoker (finding)
Aurum	Medcode	SMOK_CURR	5003181000006112	Very heavy cigarette smoker (finding)
Aurum	Medcode	SMOK_CURR	5003191000006110	Chain smoker (finding)
Aurum	Medcode	SMOK_CURR	503483019	Smoker (finding)
Aurum	Medcode	SMOK_CURR	5495901000006112	Tobacco smoking consumption (observable entity)
Aurum	Medcode	SMOK_CURR	5495941000006114	Trivial cigarette smoker (less than one cigarette/day) (finding)
Aurum	Medcode	SMOK_CURR	5495951000006111	Trivial cigarette smoker (less than one cigarette/day) (finding)
Aurum	Medcode	SMOK_CURR	67621000006112	Very heavy cigarette smoker (40+ cigs/day) (finding)
Aurum	Medcode	SMOK_CURR	700121000006118	Moderate cigarette smoker (10-19 cigs/day) (finding)
Aurum	Medcode	SMOK_CURR	7375991000006118	Smokes tobacco daily (finding)
Aurum	Medcode	SMOK_CURR	743331000006116	Light cigarette smoker (1-9 cigs/day) (finding)
Aurum	Medcode	SMOK_CURR	8063181000006116	Wants to stop smoking (finding)
Aurum	Medcode	SMOK_CURR	8153371000006117	Occasional tobacco smoker (finding)
Aurum	Medcode	SMOK_CURR	819331000006110	Heavy cigarette smoker (20-39 cigs/day) (finding)
Aurum	Medcode	SMOK_CURR	88471000006112	Trivial cigarette smoker (less than one cigarette/day) (finding)
Aurum	Medcode	SMOK_CURR	99639019	Cigar smoker (finding)
Aurum	Medcode	SMOK_EX	1059701000000119	Ex roll-up cigarette smoker (finding)
Aurum	Medcode	SMOK_EX	250363016	Ex-trivial cigarette smoker (<1/day) (finding)
Aurum	Medcode	SMOK_EX	250364010	Ex-light cigarette smoker (1-9/day) (finding)
Aurum	Medcode	SMOK_EX	250365011	Ex-moderate cigarette smoker (10-19/day) (finding)
Aurum	Medcode	SMOK_EX	250366012	Ex-heavy cigarette smoker (20-39/day) (finding)
Aurum	Medcode	SMOK_EX	250367015	Ex-very heavy cigarette smoker (40+/day) (finding)
Aurum	Medcode	SMOK_EX	250371017	Ex-smoker (finding)
Aurum	Medcode	SMOK_EX	250373019	Stopped smoking (finding)
Aurum	Medcode	SMOK_EX	250385010	Date ceased smoking (observable entity)
Aurum	Medcode	SMOK_EX	2636041000006110	Ex-smoker (finding)
Aurum	Medcode	SMOK_EX	298701000000114	Ex-smoker (finding)
Aurum	Medcode	SMOK_EX	3513101011	Date ceased using moist tobacco (observable entity)
Aurum	Medcode	SMOK_EX	3513199018	Ex-smoker for less than 1 year (finding)
Aurum	Medcode	SMOK_EX	418914010	Ex-cigarette smoker (finding)
Aurum	Medcode	SMOK_EX	4980561000006117	Time since stopped smoking (observable entity)
Aurum	Medcode	SMOK_EX	5496031000006112	Ex-cigarette smoker amount unknown (finding)
Aurum	Medcode	SMOK_EX	6217151000006116	Intolerant ex-smoker (finding)
Aurum	Medcode	SMOK_EX	6217281000006116	Aggressive ex-smoker (finding)
Aurum	Medcode	SMOK_EX	649821000006115	Ex-cigar smoker (finding)
Aurum	Medcode	SMOK_EX	649831000006117	Ex-pipe smoker (finding)
Aurum	Medcode	SMOK_EX	649841000006110	Ex-smoker (finding)
Aurum	Medcode	SMOK_EX	8017571000006117	Ex-smoker for more than 1 year (finding)
Aurum	Medcode	SMOK_EX	903041000006110	Ex-cigarette smoker amount unknown (finding)
Aurum	Medcode	SMOK_NEVER	397732011	Never smoked tobacco (finding)
Aurum	Medcode	SMOK_NEVER	5495921000006119	Never smoked tobacco (finding)
Aurum	Medcode	SMOK_NEVER	7965041000006111	Never smoked any substance (finding)
Aurum	Medcode	TYPE 1 DIABETES	11903141000006112	Diabetic oculopathy associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	11927551000006116	Insulin dependent diabetes mellitus with ulcer
Aurum	Medcode	TYPE 1 DIABETES	12085801000006112	Macular oedema due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12085811000006112	Macular edema due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12085821000006116	Macular edema co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12085831000006116	Macular oedema co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12102631000006116	Cranial nerve palsy with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12102641000006114	Cranial nerve palsy due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12102651000006112	Cranial nerve palsy with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12102661000006112	Cranial nerve palsy co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12331221000006112	Exudative maculopathy with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12331231000006110	Exudative maculopathy co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12332271000006116	Retinopathy with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12332281000006120	Retinopathy co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12332751000006116	Mononeuropathy with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12332761000006118	Mononeuropathy co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12334611000006116	Neurological disorder with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12334621000006112	Neurological disorder co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12336111000006120	Cataract due to diabetes mellitus type 1
Aurum	Medcode	TYPE 1 DIABETES	12336121000006110	Cataract co-occurrent and due to diabetes mellitus type 1
Aurum	Medcode	TYPE 1 DIABETES	12345461000006120	Lumbosacral radiculoplexus neuropathy with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12345471000006114	Lumbosacral radiculoplexus neuropathy co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12345481000006112	Lumbosacral radiculoplexus neuropathy with type I diabetes mellitus
